,step,split,loss,lr,elapsed_min,kind,source_file
50,460,train,5.4411725997924805,0.0002863371962503,0.4900434295336405,train,losses.csv
51,470,train,5.516992568969727,0.0002852858807654,0.4969454487164815,train,losses.csv
52,480,train,5.404520511627197,0.0002841979250359,0.5054709633191427,train,losses.csv
53,490,train,5.476250171661377,0.0002830736604638,0.5141207257906596,train,losses.csv
55,500,train,5.45062297821045,0.0002819134295108,0.5807932297388713,eval,losses.csv
54,500,train,5.449750900268555,0.0002819134295108,0.6342890461285909,train,losses.csv
56,500,val,5.422576885223389,0.0002819134295108,0.5807932297388713,eval,losses.csv
57,510,train,5.353430271148682,0.0002807175855947,0.6398053487141927,train,losses.csv
58,520,train,5.376956939697266,0.0002794864929811,0.6445489207903544,train,losses.csv
59,530,train,5.327958583831787,0.0002782205266726,0.6494418303171794,train,losses.csv
60,540,train,5.382572174072266,0.0002769200722949,0.6546959161758423,train,losses.csv
61,550,train,5.382199764251709,0.000275585525979,0.6626410921414693,train,losses.csv
62,560,train,5.356997489929199,0.0002742172942406,0.6727768818537394,train,losses.csv
63,570,train,5.297995567321777,0.0002728157938563,0.682890256245931,train,losses.csv
64,580,train,5.422284126281738,0.0002713814517369,0.692984664440155,train,losses.csv
65,590,train,5.272014617919922,0.0002699147047966,0.7030909816424052,train,losses.csv
66,600,train,5.352906227111816,0.000268415999821,0.7132264375686646,train,losses.csv
67,610,train,5.297472953796387,0.00026688579333,0.7233385562896728,train,losses.csv
68,620,train,5.282070159912109,0.0002653245514394,0.7334148367245992,train,losses.csv
69,630,train,5.357890605926514,0.0002637327497185,0.7428930362065633,train,losses.csv
70,640,train,5.21312952041626,0.0002621108730457,0.7521040598551433,train,losses.csv
71,650,train,5.2604451179504395,0.0002604594154601,0.7614064415295919,train,losses.csv
72,660,train,5.137674331665039,0.0002587788800119,0.7706373373667399,train,losses.csv
73,670,train,5.138181686401367,0.0002570697786084,0.7799225091934204,train,losses.csv
74,680,train,5.2033867835998535,0.0002553326318584,0.7892083684603374,train,losses.csv
75,690,train,5.071604251861572,0.0002535679689137,0.798527181148529,train,losses.csv
76,700,train,5.179078102111816,0.0002517763273076,0.8077528357505799,train,losses.csv
77,710,train,5.037323951721191,0.0002499582527917,0.8169440627098083,train,losses.csv
78,720,train,5.138914108276367,0.0002481142991689,0.8262422283490499,train,losses.csv
